model,memory,cpu,batch,accuracy,latency/loading,latency
1,4096,4,1,22,0.4480782735,9.398644038
1,4096,4,2,22,0.4818749364,9.490028688
1,4096,4,4,22,0.6918909965000001,9.592480394
1,4096,4,6,22,0.9181970490000001,10.197651500000001
1,4096,4,8,22,1.1068938001000002,9.930792161
2,6144,4,1,24,0.5820883739,11.39387524
2,6144,4,2,24,0.8120896223000001,11.51248314
2,6144,4,4,24,1.1835887701,11.49217894
2,6144,4,6,24,1.3342372493999999,12.30719611
2,6144,4,8,24,1.8200564557999999,12.40953652
3,6144,4,1,28,1.1282306794,15.12862212
3,6144,4,2,28,1.9549464924,16.07965839
3,6144,4,4,28,3.4754340016000005,17.469012229999997
3,6144,4,6,28,4.919115656400001,18.62756283
3,6144,4,8,28,6.468018401900002,20.624871369999997
4,8192,4,1,30,3.1471078001,21.89083702
4,8192,4,2,30,4.894461129800002,23.194456789999997
4,8192,4,4,30,9.1271840528,27.172614399999997
5,8192,4,1,32,4.045324147700001,21.988691109999998
5,8192,4,2,32,6.632161386400002,25.25906899
0,4096,6,1,18,0.4357986624975586,9.024727650839232
0,4096,6,2,18,0.44285887081817626,8.652640887457276
0,4096,6,4,18,0.5045073302526857,9.681008788305663
0,4096,6,6,18,0.5742628367681886,8.962094279486083
0,4096,6,8,18,0.6949626429815674,9.161609812933351
1,4096,6,1,22,0.4457356580038453,9.435627814489747
1,4096,6,2,22,0.46595599014953615,9.306845971304321
1,4096,6,4,22,0.6082287104864503,9.471595212179565
1,4096,6,6,22,0.7361059554357912,9.69684364433899
1,4096,6,8,22,0.8304856713552857,10.05661084290161
2,6144,6,1,24,0.4673597653646851,11.098522015768433
2,6144,6,2,24,0.5719266732473756,11.34078757401123
2,6144,6,4,24,0.8057013781805421,11.532401629644774
2,6144,6,6,24,1.0242461474676514,11.876889296728514
2,6144,6,8,24,1.3608882601995849,12.296064254003907
3,6144,6,1,28,0.884357899024048,15.211992236334229
3,6144,6,2,28,1.3193184598226928,15.985758563238527
3,6144,6,4,28,2.5043835242529298,16.755742236334225
3,6144,6,6,28,3.4941862519522098,17.181081315237424
3,6144,6,8,28,4.453598817183533,17.956901761251828
4,8192,6,1,30,2.0933274777670285,21.73817512627258
4,8192,6,2,30,3.4141336401243594,22.5303894364418
4,8192,6,4,30,6.439155276610414,25.809351512152098
4,8192,6,6,30,9.822507413222352,28.13151008721008
5,8192,6,1,32,2.599853351904907,19.80833189125671
5,8192,6,2,32,4.518797968222657,22.3264045917572
5,8192,6,4,32,8.881769312216797,26.29975401993408
0,4096,8,1,18,0.43661959,8.937503358
0,4096,8,2,18,0.44375727017120353,8.706173869
0,4096,8,4,18,0.5078454865,9.156139251
0,4096,8,6,18,0.5172674188,9.145865842000001
0,4096,8,8,18,0.6149689086218262,8.953430721
1,4096,8,1,22,0.4468438128000001,9.601096269000001
1,4096,8,2,22,0.45845408289999995,9.335301276000001
1,4096,8,4,22,0.6076498494000001,9.566777488
1,4096,8,6,22,0.6244617401000001,9.594707223
1,4096,8,8,22,0.7104075275000001,9.741985484
2,6144,8,1,24,0.4707659517000001,11.26155002
2,6144,8,2,24,0.5506390989000001,11.27689507
2,6144,8,4,24,0.7359433543000001,11.65899746
2,6144,8,6,24,0.8509948051000001,11.64077737
2,6144,8,8,24,0.9791587003000001,11.96216151
3,6144,8,1,28,0.7423560936,14.953745960000001
3,6144,8,2,28,1.1112865577000002,14.626887870000001
3,6144,8,4,28,1.8881936578999998,15.51460573
3,6144,8,6,28,2.6585862094,16.84032023
3,6144,8,8,28,3.4079320462000005,17.26109726
4,8192,8,1,30,1.7397578703999999,21.52452781
4,8192,8,2,30,2.6580596427,20.84765565
4,8192,8,4,30,5.087270780900001,23.530015539999997
4,8192,8,6,30,6.955633410000002,25.18932421
5,8192,8,1,32,2.158002055,20.11526348
5,8192,8,2,32,3.7349668246000003,21.939477179999997
5,8192,8,4,32,6.948940313700001,24.58507645
5,8192,8,6,32,10.282453788200002,27.886661309999997
